judul,Pasal,Content
PERMEN_BUMN_No_835_Tahun_2022_cleaned.txt,PASAL 17,"(1) Komite Pemantau Risiko sebagai organ pengelola  Risiko  di bawah Dekom atau Dewas sebagaimana dimaksud  dalam Pasal 12 huruf d memiliki fungsi Manajemen  2022 , No.835 -19-  Risiko dengan wewenang, tugas  dan tanggung jawab:   a. mengakses seluruh informasi yang relevan tentang  BUMN terkait dengan tugas dan fungsi Komite  Pemantau Risiko;   b. melakukan komunikasi dengan kepala unit kerja  dan piha k lain dalam BUMN untuk memperoleh  informasi, klarifikasi serta meminta  dokumen dan  laporan yang diperlukan;   (2) Dalam pelaksanaan fungsi Tata Kelola Terintegrasi,  Komite Pemantau Risiko memiliki wewenang, tugas dan  tanggung jawab:   a. melakukan pemantauan dan penelaahan terhadap  laporan Manajemen Risiko, dan laporan lainnya  terkait penerapan Manajemen Risiko baik BUMN  Induk maupun Anak Perusahaan;   b. melakukan pemantauan dan evaluasi atas  kesesuaian penerapan kebijakan Manajemen Risiko  BUMN Induk maupun Anak Perusahaan; dan   c. memberikan rekomendasi kepada Dekom atau  Dewas atas hal yang m endukung efektivitas  penerapan Manajemen Risiko dan kesesuaian  antara kebijakan Manajemen Risiko BUMN Induk  dan Manajemen Risiko Anak Perusahaan."
PERMEN_BUMN_No_835_Tahun_2022_cleaned.txt,PASAL 18,"Komite Tata Kelola Terintegrasi sebagai organ pengelola Risiko  di bawah Dekom atau Dewas sebagaiman a dimaksud dalam  Pasal 12 huruf e memiliki fungsi Tata Kelola Terintegrasi  dengan wewenang, tugas dan tanggung jawab:   a. melakukan evaluasi pelaksanaan Tata Kelola  Terintegrasi, paling sedikit melalui penilaian  kecukupan pengendalian internal dan pelaksanaan  fungsi kepatuhan secara terintegrasi;   b. memberikan rekomendasi kepada Dekom atau Dewas  untuk penyempurnaan kebijakan Tata Kelola  Terintegrasi; dan     2022 , No.835 -20-  c. melakukan komunikasi dengan unit kerja untuk fungsi  antara lain Audit Intern, hukum dan kepatuhan,  keuangan d an Manajemen Risiko, sumber daya  manusia dan aspek fungsi operasional usaha yang  diperlukan, untuk memperoleh informasi, klarifikasi  serta meminta laporan yang diperlukan secara  terintegrasi."
PERMEN_BUMN_No_835_Tahun_2022_cleaned.txt,PASAL 19,"Direktur yang membidangi pengelolaan Risiko sebagai or gan  pengelola Risiko sebagaimana dimaksud dalam Pasal 12 huruf  f memiliki wewenang, tugas dan tanggung jawab:   a. melaksanakan pengurusan BUMN sesuai bidang  pengelolaan Risiko sesuai dengan ketentuan peraturan  perundang -undangan, anggaran dasar dan/atau  keputu san RUPS/Pemilik Modal;   b. melaksanakan p enetapan strategi dan kebijakan  bidang pengelolaan Risiko yang menjadi tanggung  jawabnya dengan memperhatikan visi, strategi dan  kebijakan BUMN yang telah ditetapkan;   c. melaksanakan p enyusun an dan penetapan rencana  kerja, rencana pengembangan dan sumber daya  manusia di bidang pengelolaan Risiko yang menjadi  tanggung jawabnya untuk kepentingan BUMN dalam  mencapai maksud dan tujuan Perusahaan;   d. melaksanakan k oordinasi dan me mberikan arahan  pelaksanaan prinsip Tata Kelola pe rusahaan yang baik  (good corporate governance) ;  e. melaksanakan p enetapan langkah yang diperlukan  untuk memastikan BUMN telah memenuhi seluruh  peraturan perundangan yang berlaku serta menjaga  agar kegiatan usaha BUMN tidak menyimpang dari  peraturan perundanga n;  f. melaksanakan p emantau an dan menjaga kepatuhan  BUMN terhadap seluruh perjanjian dan komitmen yang  dibuat oleh BUMN kepada pihak eksternal;     2022 , No.835 -21-  g. melaksanakan p engembangan organisasi kerja  sehingga BUMN memiliki kebijakan, prosedur dan  metode yang handal dalam  menerapkan pengelolaan  Risiko; dan   h. melaksanakan monitor ing kepatuhan dan pengawasan  melekat pada semua unit kerja organisasi pengelolaan  Risiko."
PERMEN_BUMN_No_835_Tahun_2022_cleaned.txt,PASAL 20,"Direktur yang membidangi pengelolaan keuangan sebagai  organ pengelola Risiko sebagaimana dimaksud da lam Pasal 12  huruf g memiliki wewenang, tugas dan tanggung jawab:   a. melaksanakan pengurusan BUMN di bidang  pengelolaan keuangan sesuai dengan ketentuan  peraturan perundang -undangan, anggaran dasar  dan/atau keputusan RUPS/Pemilik Modal;   b. melaksanakan p enetapa n strategi dan kebijakan unit  kerja dan Anak Perusahaan yang berada di bidang  keuangan, serta berkoordinasi dengan Direktur  lainnya;   c. melaksanakan p enyusun an dan penetapan pengaturan  terkait keuangan dengan memperhatikan kebijakan  BUMN dan prinsip kehati -hatian; dan   d. melaksanakan p enyusun an dan penyajian laporan  keuangan BUMN."
PERMEN_BUMN_No_835_Tahun_2022_cleaned.txt,PASAL 21,"SPI sebagai organ pengelola Risiko sebagaimana dimaksud  dalam Pasal 12 huruf h memiliki fungsi Audit Intern dengan  wewenang, tugas dan tanggung jawab:   a. mengakses seluruh inform asi yang relevan tentang  BUMN terkait dengan tugas dan fungsi SPI;   b. melakukan komunikasi secara langsung dengan  Direksi, Dekom atau Dewas, dan Komite Audit;   c. melakukan p enyelenggaraan rapat secara berkala dan  insidentil dengan Direksi, Dekom atau Dewas, dan  Komite Audit;   2022 , No.835 -22-  d. melakukan koordinasi kegiatan dengan auditor  eksternal;   e. mengikuti rapat yang bersifat strategis;   f. memastikan pelaksanaan fungsi pengawasan intern  sesuai dengan standar profesional Audit Intern dan  kode etik Audit Intern;   g. melakukan p emilih an sumber daya manusia yang  kompeten sesuai dengan kebutuhan dalam  pelaksanaan tugas SPI;   h. memastikan anggota SPI mengikuti pengembangan  profesional berkelanjutan serta pelatihan lain sesuai  dengan perkembangan kompleksitas dan kegiatan  usaha BUMN;   i. melakukan p enyusun an dan pengkaji an piagam Audit  Intern secara periodik;   j. melakukan p enyusun an rencana audit tahunan dan  alokasi anggaran untuk pelaksanaan fungsi  pengawasan intern;   k. memastikan pelaksanaan pengawasan intern sesuai  dengan rencana;   l. melaporkan temuan yang s ignifikan kepada Direktur  Utama dan Dekom atau Dewas untuk dilakukan  tindakan perbaikan dalam waktu yang cepat;   m. memantau tindakan perbaikan atas temuan yang  signifikan;   n. melaporkan hasil pemantauan tindak lanjut perbaikan  atas temuan yang signifikan kepada Direktur Utama  dan Dekom atau Dewas;   o. menjaga kerahasiaan informasi dan/atau data BUMN  terkait dengan pelaksanaan tugas dan tanggung jawab  Audit Intern, kecuali diperbolehkan berdasarkan  ketentuan peraturan perundang -undangan dan/atau  putusan pengadilan;   p. menjaga informasi rahasia yang diperoleh sewaktu  menjabat sesuai dengan ketentuan peraturan  perundang -undangan;     2022 , No.835 -23-  q. memastikan dalam hal terdapat penggunaan jasa pihak  eksternal untuk aktivitas pengawasan intern:   1. terselenggaranya transfer pengetahuan antara  pihak eksternal kepada anggota SPI mengingat  penggunaan jasa ahli pihak ekstern bersifat  sementara;   2. penggunaan jasa pihak eksternal tidak  memengaruhi independensi dan objektivitas fungsi  SPI; dan   3. pihak eksternal mematuhi piagam Audit Intern  BUMN;   r. memastika n bagi SPI BUMN Induk:   1. menentukan  strategi pelaksanaan Audit Intern  Anak Perusahaan; dan   2. merumuskan prinsip Audit Intern yang mencakup  metodologi audit dan langkah pelaksanaan  pengendalian mutu;   s. melakukan evaluasi atas efektifitas pelaksanaan  pengendalia n intern, Manajemen Risiko, dan proses  tata kelola perusahaan, sesuai dengan peraturan  perundang -undangan dan kebijakan perusahaan;   t. melakukan pemeriksaan dan penilaian atas efisiensi  dan efektifitas di bidang keuangan, operasional,  sumber daya manusia, tek nologi informasi, dan  kegiatan lainnya."
PERMEN_BUMN_No_835_Tahun_2022_cleaned.txt,PASAL 22,"(1) BUMN wajib memiliki Taksonomi Risiko BUMN dan Anak  Perusahaan sesuai dengan kebutuhan pengawalan target  kinerja BUMN dan Anak Perusahaan.   (2) BUMN wajib memetakan Taksonomi Risiko BUMN dan  Anak Perusahaan sebag aimana dimaksud pada ayat (1)  kepada Taksonomi Risiko Kementerian BUMN untuk  proses agregasi Risiko BUMN di Kementerian BUMN dan  untuk proses integrasi Risiko Anak Perusahaan di  BUMN.     2022 , No.835 -24-  (3) Taksonomi Risiko Kementerian BUMN, terdiri dari:   a. tema Risiko (T1);   b. kategori Risiko (T2);   c. kelompok peristiwa Risiko agregasi (T3); dan   d. matriks untuk mengukur tingkat Risiko dari  aktivitas bisnis atau indikator Risiko utama (key  risk indicators) ."
PERMEN_BUMN_No_835_Tahun_2022_cleaned.txt,PASAL 23,"(1) Kebijakan Manajemen Risiko sebagaimana dimaksud  dalam Pasal 2 ayat (2) h uruf b paling sedikit memuat:   a. penetapan Risiko sesuai dengan Taksonomi Risiko;   b. penetapan strategi Risiko Terintegrasi dari Anak  Perusahaan ke BUMN Induk;   c. penetapan penggunaan metode pengukuran dan  sistem informasi Manajemen Risiko;   d. penentuan limit dan pene tapan toleransi Risiko;   e. penyusunan rencana darurat (contingency plan)   dalam kondisi terburuk (worst case scenario) ; dan   f. hal lain yang ditetapkan oleh Menteri.   (2) Standar prosedur Manajemen Risiko dan penetapan limit  Risiko disesuaikan dengan tingkat Risiko ya ng akan  diambil (risk appetite) .  (3) Standar prosedur Manajemen Risiko dan penetapan limit  Risiko sebagaimana dimaksud pada ayat (2) paling  sedikit memuat:   a. akuntabilitas dan jenjang delegasi wewenang yang  jelas;   b. pelaksanakan kaji ulang atau reviu terhadap  prosedur Manajemen Risiko dan penetapan limit  Risiko secara berkala;   c. dokumentasi prosedur Manajemen Risiko dan  penetapan limit Risiko secara memadai; dan   d. hal lain yang ditetapkan oleh Menteri.         2022 , No.835 -25-"
PERMEN_BUMN_No_835_Tahun_2022_cleaned.txt,PASAL 24,"(1) Pelaksanaan proses identifikasi, pengukuran,  pengendali an, pelaporan dan monitoring Risiko  sebagaimana dimaksud dalam Pasal 2 Ayat (2) huruf c  berdasarkan:   a. sistem informasi Manajemen Risiko yang tepat  waktu; dan   b. laporan yang akurat dan informatif mengenai  kondisi keuangan, kinerja aktivitas fungsional, dan  eksposur Risiko.   (2) Dalam rangka melaksanakan proses identifikasi Risiko,  BUMN melakukan analisis paling sedikit terhadap:   a. karakteristik Risiko yang melekat pada BUMN; dan   b. Risiko dari kegiatan usaha BUMN.   (3) Dalam rangka melaksanakan pengukuran Risiko, BUMN  paling sedikit melakukan:   a. evaluasi secara berkala terhadap kesesuaian  asumsi, sumber data, dan prosedur yang digunakan  untuk mengukur Risiko;   b. penyempurnaan terhadap sistem pengukuran  Risiko dalam hal terdapat perubahan kegiatan  usaha dan faktor Risiko yang bersif at material;  dan  c. penyesuaian terhadap pengukuran Risiko agregasi  kepada Kementerian BUMN;   (4) Dalam rangka melaksanakan pengendalian Risiko,  BUMN paling sedikit :  a. menyusun metode pengendalian Risiko atas Risiko  yang dapat membahayakan kelangsungan usaha  BUMN; d an  b. mengendalikan Risiko sesuai dengan eksposur  Risiko maupun tingkat Risiko yang diambil (risk  appetite)  dan toleransi Risiko.   (5) Direksi wajib melakukan identifikasi, pengukuran, dan  pengendalian Risiko dengan menggunakan metode yang  dipilih oleh Direksi.   (6) Pemilihan metode  identifikasi, pengukuran, dan  pengendalian Risiko sebagaimana dimaksud pada ayat  2022 , No.835 -26-  (5), dilakukan dengan mempertimbangkan karakteristik  masing -masing BUMN.   (7) Sistem informasi Manajemen Risiko sebagaimana  dimaksud pada ayat (1), memuat informas i paling sedikit  mengenai:   a. eksposur Risiko;   b. kebijakan dan standar prosedur Manajemen Risiko  serta limit Risiko; dan   c. realisasi pelaksanaan Manajemen Risiko  dibandingkan dengan target yang ditetapkan."
PERMEN_BUMN_No_835_Tahun_2022_cleaned.txt,PASAL 25,"(1) BUMN  wajib melaksanakan Sistem Pengendalian Int ern  secara efektif.   (2) Pelaksanaan Sistem Pengendalian Intern sebagaimana  dimaksud pada ayat (1)  bertujuan:   a. menjaga dan mengamankan aset BUMN;   b. menjamin tersedianya informasi dan laporan  keuangan dan manajemen yang akurat, lengkap,  tepat guna, dan tepat waktu;    c. meningkatkan kepatuhan terhadap peraturan dan  perundang -undangan serta kebijakan dan  ketentuan intern BUMN;   d. mengurangi dampak keuangan atau dampak  kerugian, penyimpangan termasuk fraud , dan  pelanggaran aspek kehati -hatian;   e. meningkatkan efektivitas orga nisasi dan  meningkatkan efisiensi biaya; dan   f. meningkat kan efektivitas budaya Risiko pada  organisasi BUMN secara menyeluruh.   (3) Sistem Pengendalian Intern dalam penerapan Manajemen  Risiko paling sedikit mencakup:   a. kesesuaian Sistem Pengendalian Intern dengan je nis  dan tingkat Risiko yang melekat pada kegiatan  usaha BUMN;   b. penetapan wewenang dan tanggung jawab untuk  pemantauan kepatuhan kebijakan dan prosedur  2022 , No.835 -27-  Manajemen Risiko, serta penetapan limit Risiko;   c. penetapan jalur pelaporan dan pemisahan fungsi  yang jelas dari lini pertama kepada lini kedua;   d. struktur organisasi yang menggambarkan secara  jelas kegiatan usaha BUMN;   e. pelaporan keuangan dan kegiatan operasional yang  akurat dan tepat waktu;   f. kecukupan prosedur untuk memastikan kepatuhan  BUMN terhadap ketentuan per aturan perundang - undangan;   g. kaji ulang atau reviu yang efektif, independen dan    obyektif terhadap prosedur penilaian kegiatan  operasional BUMN;   h. pengujian dan kaji ulang atau reviu yang memadai  terhadap sistem informasi Manajemen Risiko;   i. dokumentasi secara lengkap dan memadai terhadap  prosedur operasional, cakupan, dan temuan audit,  serta tanggapan Direksi terhadap hasil audit; dan   j. verifikasi dan kaji ulang atau reviu secara berkala  dan berkesinambungan terhadap penanganan  kelemahan BUMN yang bersifat materi al dan  tindakan Direksi untuk memperbaiki penyimpangan  yang terjadi.     BAB III : PERENCANAAN,  PENERAPAN, MONITORING DAN EVALUASI MANAJEMEN RISIKO"
PERMEN_BUMN_No_934_Tahun_2021_cleaned.txt,PASAL 2,"Petunjuk teknis yang diatur dalam Peraturan Menteri ini  bertujuan  sebagai pedoman bagi:   a. Instansi Pembina;   b. Tim Penilai Angka Kredit;   c. atasan Penata Kelola Perusahaan Negara ;   d. Penata Kelola Perusahaan Negara ; dan  e. pemangku kepentingan lainnya.   dalam pelaksanaan penilaian kegiatan Penata Kelola  Perusahaan Negara .    BAB II : PENGANGKATAN, KENAIKAN PANGKAT  DAN JABATAN, PEMBERHENTIAN DARI JABATAN, DAN PENGANGKATAN  KEMBALI KE JABATAN FUNGSIONAL PKPN"
PERMEN_BUMN_No_939_Tahun_2022_cleaned.txt,PASAL 6,"(1) Program TJSL BUMN dilakukan secara sistematis  dan terpadu untuk menjamin pelaksanaan,  pencapaian keberhasilan serta pengelolaan dampak  Program TJSL BUMN sesuai dengan prioritas  dan/atau pencapaian dari tujuan Program TJSL  2022, No.939 -4-  BUMN yang berpedoman pada rencana kerja.   (2) Program TJSL BUMN sebagaimana dimaksud pada  ayat (1) meliputi tahapan:   a. perencanaan;   b. pelaksanaan;   c. pengawasan; dan   d. pelaporan.     2. Ketentuan Pasal 10 diubah, sehingga Pasal 10 berbunyi  sebagai berikut:"
PERMEN_BUMN_No_939_Tahun_2022_cleaned.txt,PASAL 10,"(1) Pelaksanaan Program TJSL BUMN dapat dilakukan  dalam bentuk:   a. pembiayaan usaha mikro dan usaha kecil;  dan/atau   b. bantuan dan/atau kegiatan lainnya , termasuk  pembinaan .  (2) Pelaksanaan Program TJSL BUMN untuk  pembiayaan usaha mikro dan usaha kecil   sebagaimana dimaksud pada ayat (1)  huruf a , BUMN  dapat secara khusus membentuk Program  Pendanaan UMK.   (3) Pelaksanaan Program TJSL BUMN dalam bentuk  bantuan dan/atau kegiatan lainnya sebagaimana  dimaksud pada ayat (1) huruf b, dilaksanakan  dengan mengutamakan  fokus bidang pendidikan,  lingkungan , dan pengembangan usaha mikro dan  usaha kecil  atau kebijakan lain yang ditetapkan oleh  Menteri.     3. Ketentuan ayat (2) Pasal 12 diubah, sehingga berbunyi  sebagai berikut:        2022, No.939 -5-"
PERMEN_BUMN_No_939_Tahun_2022_cleaned.txt,PASAL 12,"(1) Program Pendanaan UMK dilakukan dalam bentuk:   a. Pemberian modal kerja dalam bentuk pinjaman  dan/atau pembiayaan syariah dengan jumlah  pinjaman dan/atau pembiayaan syariah untuk  setiap usaha mikro dan usaha kecil paling  banyak Rp250.000.000,00 (dua ratus lima  puluh juta rupiah).   b. Pinjaman tambahan  dalam bentuk pinjaman  dan/atau pembiayaan syariah untuk  membiayai kebutuhan yang bersifat jangka  pendek paling lama  1 tahun untuk memenuhi  pesanan dari rekanan usaha mikro dan usaha  kecil dengan jumlah paling banyak  Rp100.000.000,00 (seratus juta rupiah).   (2) Modal kerja yang diberikan dalam bentuk pinjaman  sebagaimana dimaksud pada ayat (1) memiliki  besaran jasa administrasi sebesar :  a. 3% (tiga persen) per tahun dari saldo pinjaman  awal tahun ;  b. suku bunga flat yang setara dengan 3% (tiga  persen) per tahun dari saldo pinjaman awal  tahun ; atau   c. ketentuan lai n yang ditetapkan Menteri ,   dengan jangka waktu/tenor pinjaman paling lama  3  (tiga) tahun.   (3) Apabila pembiayaan dalam bentuk syariah diberikan  berdasarkan:   a. prinsip jual beli maka proyeksi marjin yang  dihasilkan disetarakan dengan marjin sebesar  jasa administrasi sebagaimana dimaksud pada  ayat (2); atau   b. prinsip bagi hasil maka rasio bagi hasilnya  untuk BUMN adalah mulai dari 10% (sepuluh  persen) sampai dengan paling banyak 50% (lima  puluh persen) berdasarkan perja njian.     2022, No.939 -6-  4. Ketentuan ayat (2) diubah, sehingga Pasal 21 berbunyi  sebagai berikut:"
PERMEN_BUMN_No_939_Tahun_2022_cleaned.txt,PASAL 21,"(1) Beban operasional Program TJSL BUMN menjadi  beban BUMN.   (2) Beban pembinaan kepada usaha mikro dan usaha  kecil sebagaimana dimaksud dalam Pasal 10 ayat (1)  huruf b menjadi  bagian dari biaya Program TJSL  BUMN.     5. Bagian Keempat diubah dan k etentuan ayat (2) dihapus ,  sehingga Pasal 22 berbunyi sebagai berikut:     Bagian Keempat   Pengawasan dan Pelaporan"
PERMEN_BUMN_No_939_Tahun_2022_cleaned.txt,PASAL 22,"(1) Direksi bertanggung jawab penuh dalam  pelaksanaan  Program TJSL BUMN.   (2) Dihapus .  (3) Direksi melakukan evaluasi atas pelaksanaan  Program TJSL BUMN untuk mengukur kinerja dan  capaian manfaat baik kepada BUMN maupun  kepada lingkungan .  (4) Dewan Komisaris/Dewan Pengawas BUMN  melakukan pengawasan terhadap pelaksanaan  Program TJSL BUMN .    6. Ketentuan ayat (2), ayat (3) dan ayat (4) diubah, sehingga  Pasal 23 berbunyi sebagai berikut:"
PERMEN_BUMN_No_939_Tahun_2022_cleaned.txt,PASAL 23,"(1) Setiap BUMN wajib menyusun laporan keuangan  dan pelaksanaan Program TJSL BUMN.      2022, No.939 -7-  (2) Pelaksanaan  Program TJSL  BUMN sebagaimana  dimaksud pada ayat (1) dilaporkan  dalam laporan  berkala dan laporan tahunan.   (3) Pelaksanaan Program TJS L BUMN sebagaimana  dimaksud pada ayat (2) menjadi  satu kesatuan  dengan laporan berkala dan laporan  tahunan kinerja  BUMN yang dituangkan dalam bab  tersendiri.   (4) Laporan keuangan  Program Pendanaan  UMK  tahunan harus diaudit oleh kantor  akuntan publik  secara terpisah dari audit laporan  keuangan BUMN   yang disusun sesuai standar akuntansi keuangan .    7. Ketentuan ayat (3) huruf c diubah, sehingga Pasal 24  berbunyi sebagai berikut:"
PERMEN_BUMN_No_939_Tahun_2022_cleaned.txt,PASAL 24,"(1) Direksi membentuk Komite TJSL BUMN untuk   melakukan pemetaan dan penyusunan Program  TJSL  BUMN.   (2) Komite TJSL sebagaimana dimaksud pada ayat (1)   dibentuk pada tingkat perusahaan induk BUMN dan   BUMN.   (3) Komite TJSL berfungsi:   a. melakukan koordinasi antar unit/ direktorat  untuk  merumuskan tujuan dan petunjuk  pelaksanaan  Program TJSL BUMN;   b. pemetaan dan penyusunan Program TJSL  BUMN; dan   c. membantu Direksi dalam melaksanakan  evaluasi  atas pelaksanaan Program TJSL  BUMN.     8. Ketentuan Pasal 25 diubah, sehingga berbunyi sebagai  berikut:"
PERMEN_BUMN_No_939_Tahun_2022_cleaned.txt,PASAL 25,"Direksi dalam mengoptimalkan pelaksanaan Program  TJSL BUMN dalam bentuk bantuan dan/atau kegiatan  2022, No.939 -8-  lainnya sebagaimana dimaksud dalam Pasal 10 ayat (1)  huruf b dapat bekerjasama dengan :  a. BUMN lain ;  b. anak perusahaan BUMN ;  c. perusahaan terafiliasi BUMN ;  d. badan hukum yang didirikan oleh BUMN untuk  tujuan sosial dan kemanusiaan ;  e. badan usaha ; dan/atau   f. badan hukum lainnya.     Pasal  II  1. Besaran jasa administrasi pinjaman yang dikenakan oleh  BUMN sebelum berlakunya Peraturan Menteri ini, wajib   disesuaikan dengan ketentuan Pasal 12 ayat (2) paling  lambat 6 (enam) bulan  setelah berlakunya Peraturan  Menteri ini .  2. Peraturan  Menteri ini mulai berlaku pada tanggal  diundangkan .        2022, No.939 -9-"
